y,x,z
49.68753,-93.68758,-3.46
49.68753,-93.68749,-3.73
49.68753,-93.68742,-2.81
49.68753,-93.68735,-2.47
49.68751,-93.68728,-2.21
49.68743,-93.68726,-0.89
49.68739,-93.6873,-0.65
49.68735,-93.68734,-0.82
49.68732,-93.68738,-0.59
49.68728,-93.68741,-0.49
49.68729,-93.68747,-0.97
49.68733,-93.68751,-1.54
49.68735,-93.68757,-2.28
49.68735,-93.68763,-2.72
49.68736,-93.6877,-2.95
49.68736,-93.68778,-2.72
49.68736,-93.68785,-3.23
49.68736,-93.68792,-4.13
49.68736,-93.688,-4.24
49.68736,-93.68807,-3.46
49.68737,-93.68815,-3.82
49.68737,-93.68823,-3.58
49.68737,-93.68831,-3.97
49.68737,-93.68839,-4.62
49.68738,-93.68845,-4.64
49.68738,-93.68852,-4.89
49.68738,-93.6886,-5
49.68738,-93.68867,-5.1
49.68738,-93.68874,-5.33
49.68739,-93.6888,-5.53
49.68739,-93.68887,-5.71
49.6874,-93.68894,-5.88
49.6874,-93.68902,-6.14
49.6874,-93.68909,-6.43
49.6874,-93.68917,-6.28
49.68741,-93.68924,-6.47
49.68742,-93.6893,-6.5
49.68742,-93.68938,-6.52
49.68742,-93.68946,-6.37
49.68742,-93.68954,-6.2
49.68742,-93.6896,-6.09
49.68742,-93.68967,-5.84
49.68743,-93.68975,-5.72
49.68744,-93.68982,-5.57
49.68746,-93.6899,-5.17
49.68747,-93.68998,-5.08
49.68749,-93.69005,-4.58
49.68752,-93.69011,-4.13
49.68753,-93.69018,-3.52
49.68753,-93.69026,-5.25
49.68754,-93.69034,-3.71
49.68753,-93.69041,-2.74
49.68753,-93.69047,-2.68
49.6875,-93.69054,-2.42
49.68747,-93.6906,-1.9
49.68743,-93.69062,-1.43
49.68741,-93.69056,-1.96
49.68737,-93.69053,-1.83
49.68734,-93.69059,-1.67
49.68731,-93.69064,-1.14
49.68724,-93.69065,-0.76
49.68722,-93.69059,-1.16
49.68721,-93.69046,-1.48
49.68721,-93.69039,-1.81
49.68721,-93.69033,-1.88
49.68721,-93.69026,-2.17
49.68721,-93.69017,-2.36
49.68721,-93.6901,-2.55
49.68721,-93.69002,-2.66
49.68721,-93.68994,-2.24
49.68721,-93.68988,-2.59
49.68721,-93.68981,-3.04
49.68722,-93.68973,-3.99
49.68722,-93.68966,-5.17
49.68723,-93.6896,-5
49.68723,-93.68953,-2.64
49.68723,-93.68945,-4.85
49.68722,-93.68938,-5.06
49.68721,-93.6893,-4.07
49.6872,-93.68922,-4.83
49.68719,-93.68915,-2.78
49.68718,-93.68909,-2.76
49.68718,-93.68902,-3.14
49.68717,-93.68895,-3.16
49.68716,-93.68888,-2.95
49.68715,-93.68882,-2.74
49.68715,-93.68875,-3.1
49.68714,-93.68868,-2.66
49.68714,-93.68861,-2.51
49.68714,-93.68853,-2.34
49.68714,-93.68846,-2.23
49.68714,-93.68838,-1.96
49.68714,-93.6883,-1.86
49.68714,-93.68823,-1.71
49.68714,-93.68814,-1.75
49.68715,-93.68807,-1.75
49.68715,-93.68799,-1.62
49.68715,-93.68792,-1.67
49.68715,-93.68784,-1.45
49.68715,-93.68777,-1.45
49.68715,-93.6877,-1.33
49.6871,-93.68771,-0.91
49.68708,-93.68777,-0.89
49.68705,-93.68783,-0.74
49.68704,-93.6879,-0.76
49.68703,-93.68797,-0.68
49.68703,-93.68805,-0.72
49.68703,-93.68812,-0.74
49.68703,-93.68819,-0.68
49.68703,-93.68827,-1.03
49.68702,-93.68835,-1.08
49.68702,-93.68842,-1.2
49.68702,-93.6885,-1.41
49.68702,-93.68858,-1.48
49.68702,-93.68867,-1.56
49.68701,-93.68874,-1.43
49.68701,-93.68882,-1.67
49.68701,-93.6889,-1.67
49.68701,-93.68898,-1.6
49.68701,-93.68906,-1.69
49.687,-93.68913,-1.9
49.687,-93.68921,-2.05
49.68701,-93.68928,-2.09
49.68701,-93.68935,-2.26
49.68701,-93.68943,-2.42
49.68701,-93.68951,-2.62
49.68701,-93.68958,-2.91
49.68702,-93.68964,-1.94
49.68702,-93.68972,-2.09
49.68703,-93.68978,-2.05
49.68703,-93.68985,-1.98
49.68703,-93.68991,-2.11
49.68703,-93.68999,-1.96
49.68704,-93.69007,-1.64
49.68704,-93.69014,-1.65
49.68704,-93.6902,-1.39
49.68705,-93.69027,-1.41
49.68705,-93.69034,-1.37
49.68706,-93.6904,-1.03
49.68706,-93.69047,-0.48
49.6871,-93.69049,-0.97
49.68712,-93.69044,-1.64
49.6871,-93.69037,-1.62
49.68706,-93.69034,-1.54
49.68703,-93.69029,-1.43
49.68701,-93.69023,-1.39
49.68698,-93.69017,-1.46
49.68697,-93.69009,-1.33
49.68694,-93.69004,-1.5
49.68691,-93.68998,-1.27
49.68689,-93.68993,-1.31
49.68686,-93.68989,-1.24
49.68683,-93.68984,-1.08
49.68683,-93.68976,-1.12
49.68684,-93.68969,-1.08
49.68683,-93.68963,-1.14
49.68681,-93.68956,-0.82
49.68679,-93.68949,-1.27
49.68679,-93.68943,-1.08
49.68677,-93.68937,-1.27
49.68675,-93.68922,-0.86
49.68674,-93.68916,-0.74
49.68675,-93.6891,-0.57
49.68676,-93.68903,-0.7
49.68679,-93.68899,-0.7
49.68681,-93.68893,-0.7
49.68683,-93.68886,-0.76
49.68683,-93.68879,-0.74
49.68682,-93.68873,-0.78
49.68683,-93.68867,-0.68
49.68683,-93.68868,-0.78
49.68688,-93.68867,-0.99
49.6869,-93.68862,-0.82
49.6869,-93.68855,-0.95
49.6869,-93.68848,-0.87
49.68692,-93.68841,-0.84
49.68694,-93.68835,-0.89
49.68696,-93.68828,-0.89
49.68698,-93.68822,-0.93
49.68701,-93.68814,-0.49
49.68703,-93.68808,-0.8
49.68703,-93.68802,-0.49
49.68705,-93.68795,-0.68
49.68707,-93.68788,-0.95
49.68709,-93.68781,-0.91
49.6871,-93.68775,-1.03
49.68713,-93.6877,-1.07
49.68715,-93.68764,-1.08
49.68719,-93.68759,-1.2
49.68722,-93.68753,-1.26
49.68726,-93.68749,-1.27
49.6873,-93.68744,-1.41
49.68735,-93.68741,-1.46
49.68739,-93.68738,-1.73
49.68744,-93.68735,-1.96
49.68748,-93.68732,-2.17
49.68753,-93.68728,-2.34
49.68757,-93.68726,-2.53
49.68762,-93.68722,-2.57
49.68766,-93.68719,-2.64
49.68774,-93.68715,-2.45
49.68778,-93.68717,-2.8
49.68782,-93.68717,-3.44
49.68786,-93.68713,-2.43
49.68789,-93.68708,-2.72
49.68793,-93.68706,-2.85
49.68798,-93.68705,-2.78
49.68802,-93.68705,-2.95
49.68806,-93.68706,-2.85
49.68811,-93.68708,-2.89
49.68816,-93.6871,-2.95
49.6882,-93.68712,-2.68
49.68824,-93.68715,-2.34
49.68828,-93.68717,-2.17
49.68831,-93.68724,-2.38
49.6883,-93.6873,-3.46
49.68826,-93.68728,-3.88
49.68821,-93.68726,-4.41
49.68817,-93.68722,-3.21
49.68812,-93.68718,-3.14
